,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score,movie_titleO,combined
0,James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,avatar,Wes Studi,7.9,Avatar,James Cameron Joel David Moore CCH Pounder Action Adventure Fantasy Sci-Fi Wes Studi
1,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: at world's end,Jack Davenport,7.1,Pirates of the Caribbean: At World's End,Gore Verbinski Orlando Bloom Johnny Depp Action Adventure Fantasy Jack Davenport
2,Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,spectre,Stephanie Sigman,6.8,Spectre,Sam Mendes Rory Kinnear Christoph Waltz Action Adventure Thriller Stephanie Sigman
3,Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,the dark knight rises,Joseph Gordon-Levitt,8.5,The Dark Knight Rises,Christopher Nolan Christian Bale Tom Hardy Action Thriller Joseph Gordon-Levitt
5,Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,john carter,Polly Walker,6.6,John Carter,Andrew Stanton Samantha Morton Daryl Sabara Action Adventure Sci-Fi Polly Walker
6,Sam Raimi,James Franco,Action Adventure Romance,J.K. Simmons,spider-man 3,Kirsten Dunst,6.2,Spider-Man 3,Sam Raimi James Franco J.K. Simmons Action Adventure Romance Kirsten Dunst
7,Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,tangled,M.C. Gainey,7.8,Tangled,Nathan Greno Donna Murphy Brad Garrett Adventure Animation Comedy Family Fantasy Musical Romance M.C. Gainey
8,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,avengers: age of ultron,Scarlett Johansson,7.5,Avengers: Age of Ultron,Joss Whedon Robert Downey Jr. Chris Hemsworth Action Adventure Sci-Fi Scarlett Johansson
9,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,harry potter and the half-blood prince,Rupert Grint,7.5,Harry Potter and the Half-Blood Prince,David Yates Daniel Radcliffe Alan Rickman Adventure Family Fantasy Mystery Rupert Grint
10,Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,batman v superman: dawn of justice,Alan D. Purwin,6.9,Batman v Superman: Dawn of Justice,Zack Snyder Lauren Cohan Henry Cavill Action Adventure Sci-Fi Alan D. Purwin
11,Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,superman returns,Frank Langella,6.1,Superman Returns,Bryan Singer Marlon Brando Kevin Spacey Action Adventure Sci-Fi Frank Langella
12,Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,quantum of solace,Rory Kinnear,6.7,Quantum of Solace,Marc Forster Mathieu Amalric Giancarlo Giannini Action Adventure Rory Kinnear
13,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: dead man's chest,Jack Davenport,7.3,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski Orlando Bloom Johnny Depp Action Adventure Fantasy Jack Davenport
14,Gore Verbinski,Ruth Wilson,Action Adventure Western,Johnny Depp,the lone ranger,Tom Wilkinson,6.5,The Lone Ranger,Gore Verbinski Ruth Wilson Johnny Depp Action Adventure Western Tom Wilkinson
15,Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,man of steel,Harry Lennix,7.2,Man of Steel,Zack Snyder Christopher Meloni Henry Cavill Action Adventure Fantasy Sci-Fi Harry Lennix
16,Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,the chronicles of narnia: prince caspian,Damián Alcázar,6.6,The Chronicles of Narnia: Prince Caspian,Andrew Adamson Pierfrancesco Favino Peter Dinklage Action Adventure Family Fantasy Damián Alcázar
17,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,the avengers,Scarlett Johansson,8.1,The Avengers,Joss Whedon Robert Downey Jr. Chris Hemsworth Action Adventure Sci-Fi Scarlett Johansson
18,Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: on stranger tides,Stephen Graham,6.7,Pirates of the Caribbean: On Stranger Tides,Rob Marshall Sam Claflin Johnny Depp Action Adventure Fantasy Stephen Graham
19,Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,men in black 3,Nicole Scherzinger,6.8,Men in Black 3,Barry Sonnenfeld Michael Stuhlbarg Will Smith Action Adventure Comedy Family Fantasy Sci-Fi Nicole Scherzinger
